pkMemberMembershipID,dDateEntered,dTimeEntered,fkEmployeeID,fkMemberID,tCycle,nCycleAmount,bVisitsRestriction,nVisitsAllowed,bDaysRestriction,tDaysAllowed,bTimesRestriction,tTimesAllowed,dStartDate,dEndDate,cMembershipPrice,cEnrollmentFee,tDiscount,tDiscountReason,cTotalCharged,bActive,nCierre,tRenew,bPaid,cSalesTax,tMembershipName,dFrozenDate
68,"03/17/26 00:00:00","12/30/99 06:00:48","1001","1064","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
69,"03/17/26 00:00:00","12/30/99 07:07:00","1001","1065","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
70,"03/17/26 00:00:00","12/30/99 07:11:00","1001","1066","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
71,"03/17/26 00:00:00","12/30/99 08:14:27","1001","1067","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",1,0.0000,"MENSUALIDAD",
72,"03/17/26 00:00:00","12/30/99 08:52:12","1001","1068","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
73,"03/17/26 00:00:00","12/30/99 09:19:15","1001","1069","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
74,"03/17/26 00:00:00","12/30/99 09:23:55","1001","1070","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
75,"03/17/26 00:00:00","12/30/99 18:00:41","1001","1071","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
76,"03/17/26 00:00:00","12/30/99 18:05:33","1001","1072","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
102,"03/24/26 00:00:00","12/30/99 20:31:53","1001","1097","MONTHS",1,0,0,0,,0,,"03/24/26 00:00:00","04/24/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
103,"03/24/26 00:00:00","12/30/99 22:07:58","1001","1098","MONTHS",1,0,0,0,,0,,"03/24/26 00:00:00","04/24/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",1,0.0000,"MENSUALIDAD",
104,"03/25/26 00:00:00","12/30/99 07:09:37","1001","1099","MONTHS",3,0,0,0,,0,,"03/25/26 00:00:00","06/25/26 00:00:00",0.0000,0.0000,"-$0",,0.0000,1,1,"0",0,0.0000,"ENTRENADORES",
106,"03/25/26 00:00:00","12/30/99 18:26:36","1001","1102","MONTHS",1,0,0,0,,0,,"03/25/26 00:00:00","04/25/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
107,"03/25/26 00:00:00","12/30/99 18:29:20","1001","1103","MONTHS",1,0,0,0,,0,,"03/25/26 00:00:00","04/25/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
108,"03/25/26 00:00:00","12/30/99 20:07:39","1001","1104","MONTHS",3,0,0,0,,0,,"03/25/26 00:00:00","06/25/26 00:00:00",2900.0000,0.0000,"-$0",,2900.0000,1,1,"0",0,0.0000,"TRIMESTRE",
109,"03/25/26 00:00:00","12/30/99 20:14:59","1001","1105","MONTHS",1,0,0,0,,0,,"03/23/26 00:00:00","04/23/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
110,"03/27/26 00:00:00","12/30/99 08:15:48","1001","1106","MONTHS",1,0,0,0,,0,,"03/27/26 00:00:00","04/27/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
111,"03/30/26 00:00:00","12/30/99 18:23:11","1001","1108","MONTHS",1,0,0,0,,0,,"03/30/26 00:00:00","04/30/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
112,"03/30/26 00:00:00","12/30/99 19:21:12","1001","1109","MONTHS",1,0,0,0,,0,,"03/30/26 00:00:00","04/30/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
